a8:f5:ac:b6:dd:58,a8:f5:ac:b6:dd:5c,14:49:e0:8f:4a:28,3a:43:1d:a8:03:6d,38:43:7d:a8:03:6d,38:43:7d:a8:03:57,3a:43:1d:e9:87:df,38:43:7d:e9:87:df,BuildingID
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
-68,-75,-77,-86,-86,-87,-91,-91,0
